percentile,threshold_high,min_area,kernel_size,iterations,distance_thresh,F1,IoU,Precision,Recall
90,0.40295148,10,7,1,8,0.13424727088086608,0.07195340989491539,0.09035609322664864,0.26105845181623016
90,0.40295148,10,7,1,10,0.13636592361488634,0.07317204881732738,0.09149841312709062,0.2675750394939424
90,0.40295148,10,7,2,3,0.11930230317041568,0.06343513014958832,0.07890376035686494,0.24447077409114443
90,0.40295148,10,7,2,4,0.1283104376150081,0.06855326876509858,0.08431044109430838,0.26836492890942265
90,0.40295148,10,7,2,5,0.1552565028901033,0.08416156670742513,0.10064402810298556,0.3394549763026472
90,0.40295148,10,7,2,6,0.17058745052689528,0.09324711945155659,0.11008437123336388,0.37875197472279076
90,0.40295148,10,7,2,7,0.1749648135115346,0.09586928230582933,0.1125509280216656,0.3927725118475656
90,0.40295148,10,7,2,8,0.19793333045086345,0.10983685220724096,0.12670910600601898,0.4520142180085861
90,0.40295148,10,7,2,10,0.1958424040636036,0.10855060805370342,0.12492512116749718,0.4530015797779364
90,0.40295148,10,9,1,3,0.09204218600186852,0.048241206030123815,0.06301969365422098,0.17061611374373892
90,0.40295148,10,9,1,4,0.10260352603520777,0.054075954837634874,0.06928294573638615,0.19766982622393825
90,0.40295148,10,9,1,5,0.11716834983816199,0.06222985991768878,0.07793139428715408,0.23597946287473148
90,0.40295148,10,9,1,6,0.12324929971982843,0.06567164179101097,0.081575246132156,0.251974723538207
90,0.40295148,10,9,1,7,0.12743176712388155,0.06805186849087806,0.08406382039472532,0.2632306477088009
90,0.40295148,10,9,1,8,0.13924528301880224,0.07483269113766232,0.09147248388690414,0.2914691943122206
90,0.40295148,10,9,1,10,0.1448048020100764,0.07805367444189713,0.0947221038533544,0.3072669826218261
90,0.40295148,10,9,2,3,0.14819724284192815,0.0800286327845001,0.0954576502731697,0.33116113744010434
90,0.40295148,10,9,2,4,0.1774103259698672,0.0973396966403169,0.1134423701745066,0.4067930489723405
90,0.40295148,10,9,2,5,0.18471879520114662,0.10175767518157873,0.11772042077859357,0.42871248025191805
90,0.40295148,10,9,2,6,0.2037511014139203,0.11343144125199092,0.1293622462570572,0.4794628751965256
90,0.40295148,10,9,2,7,0.2075409019183591,0.11578557197789195,0.13140182984534052,0.4934834123213004
90,0.40295148,10,9,2,8,0.20857426069708881,0.11642919721486769,0.13186755796943186,0.49861769352192215
90,0.40295148,10,9,2,10,0.20731757282738258,0.11564656945645396,0.1307966706301345,0.4996050552912725
90,0.40295148,20,0,1,3,0.08506531111248627,0.044422043010722834,0.06309057936426163,0.13052922590811508
90,0.40295148,20,0,1,4,0.09449512425285027,0.049590596936047546,0.06933801126390052,0.14830173775642122
90,0.40295148,20,0,1,5,0.10436595535926885,0.05505596170016493,0.07568480967620447,0.16804897314342804
90,0.40295148,20,0,1,6,0.11088819989050344,0.05869859046144127,0.08010540184446191,0.1800947867295022
90,0.40295148,20,0,1,7,0.115831517792232,0.06147619965307286,0.08350785340306849,0.18898104265365526
90,0.40295148,20,0,1,8,0.12088375173070803,0.0643301082847028,0.08694899107985887,0.19826224328554845
90,0.40295148,20,0,1,10,0.12162648434681442,0.06475095785436479,0.08733850129191444,0.20023696682424913
90,0.40295148,20,0,2,3,0.08506531111248627,0.044422043010722834,0.06309057936426163,0.13052922590811508
90,0.40295148,20,0,2,4,0.09449512425285027,0.049590596936047546,0.06933801126390052,0.14830173775642122
90,0.40295148,20,0,2,5,0.10436595535926885,0.05505596170016493,0.07568480967620447,0.16804897314342804
90,0.40295148,20,0,2,6,0.11088819989050344,0.05869859046144127,0.08010540184446191,0.1800947867295022
90,0.40295148,20,0,2,7,0.115831517792232,0.06147619965307286,0.08350785340306849,0.18898104265365526
90,0.40295148,20,0,2,8,0.12088375173070803,0.0643301082847028,0.08694899107985887,0.19826224328554845
90,0.40295148,20,0,2,10,0.12162648434681442,0.06475095785436479,0.08733850129191444,0.20023696682424913
90,0.40295148,20,3,1,3,0.08704339681543112,0.04550202376286362,0.06364715551085412,0.13763823064743752
90,0.40295148,20,3,1,4,0.09450430385836724,0.04959565327264999,0.06797125292227207,0.15501579778800353
90,0.40295148,20,3,1,5,0.10480909355866813,0.05530265748028094,0.07435282441479252,0.1775276461291913
90,0.40295148,20,3,1,6,0.1110918644262884,0.05881274072259044,0.07849857201135985,0.18996840442300558
90,0.40295148,20,3,1,7,0.1170603072689079,0.06216890945621252,0.08247172859444064,0.2016192733013396
90,0.40295148,20,3,1,8,0.12129856792370554,0.06456511175895009,0.08529246569839902,0.20991311216388248
90,0.40295148,20,3,1,10,0.12162546177884534,0.06475037821478684,0.08538823717174575,0.21129541864097295
90,0.40295148,20,3,2,3,0.08809135399668414,0.04607508532420296,0.06346304518145428,0.1439573459712797
90,0.40295148,20,3,2,4,0.09610691458448802,0.05047915522184552,0.0680882595092474,0.1633096366505464
90,0.40295148,20,3,2,5,0.10698136097931676,0.05651363318570466,0.0742157612853296,0.19154818325396614
90,0.40295148,20,3,2,6,0.11787691305757197,0.062629757785431,0.08127525819482018,0.21445497630289406
90,0.40295148,20,3,2,7,0.12234787291323514,0.06516003212110522,0.08411076558560335,0.22432859399639746
90,0.40295148,20,3,2,8,0.12568247510966402,0.06705506054371313,0.08620942869724907,0.23183254344346005
90,0.40295148,20,3,2,10,0.12750571595675678,0.06809404815988863,0.0872444153386544,0.23676935229021176
90,0.40295148,20,5,1,3,0.08809135399668414,0.04607508532420296,0.06346304518145428,0.1439573459712797
90,0.40295148,20,5,1,4,0.09610691458448802,0.05047915522184552,0.0680882595092474,0.1633096366505464
90,0.40295148,20,5,1,5,0.10698136097931676,0.05651363318570466,0.0742157612853296,0.19154818325396614
90,0.40295148,20,5,1,6,0.11787691305757197,0.062629757785431,0.08127525819482018,0.21445497630289406
90,0.40295148,20,5,1,7,0.12234787291323514,0.06516003212110522,0.08411076558560335,0.22432859399639746
90,0.40295148,20,5,1,8,0.12568247510966402,0.06705506054371313,0.08620942869724907,0.23183254344346005
90,0.40295148,20,5,1,10,0.12750571595675678,0.06809404815988863,0.0872444153386544,0.23676935229021176
90,0.40295148,20,5,2,3,0.09204218600186852,0.048241206030123815,0.06301969365422098,0.17061611374373892
90,0.40295148,20,5,2,4,0.10260352603520777,0.054075954837634874,0.06928294573638615,0.19766982622393825
90,0.40295148,20,5,2,5,0.11716834983816199,0.06222985991768878,0.07793139428715408,0.23597946287473148
90,0.40295148,20,5,2,6,0.12324929971982843,0.06567164179101097,0.081575246132156,0.251974723538207
90,0.40295148,20,5,2,7,0.12743176712388155,0.06805186849087806,0.08406382039472532,0.2632306477088009
90,0.40295148,20,5,2,8,0.13924528301880224,0.07483269113766232,0.09147248388690414,0.2914691943122206
90,0.40295148,20,5,2,10,0.1448048020100764,0.07805367444189713,0.0947221038533544,0.3072669826218261
90,0.40295148,20,7,1,3,0.08958880139977277,0.04689503572079935,0.06357089644891684,0.15165876777221238
90,0.40295148,20,7,1,4,0.09911250757946137,0.05214012295554336,0.06874665443139194,0.1775276461291913
90,0.40295148,20,7,1,5,0.11552650996093837,0.06130439646489467,0.07879223580152495,0.21642969984159474
90,0.40295148,20,7,1,6,0.12472783825810019,0.06651185934645518,0.08456347532680686,0.23755924170569204
90,0.40295148,20,7,1,7,0.12928301114854798,0.06910880262434713,0.08723257418903572,0.2496050552917662
90,0.40295148,20,7,1,8,0.13424727088086608,0.07195340989491539,0.09035609322664864,0.26105845181623016
90,0.40295148,20,7,1,10,0.13636592361488634,0.07317204881732738,0.09149841312709062,0.2675750394939424
90,0.40295148,20,7,2,3,0.11930230317041568,0.06343513014958832,0.07890376035686494,0.24447077409114443
